SampleID,P,N,E,variable,value,label,unit,group
W-N4+E-2,Wheat,200%,+E,NO3_N,51.4489750228715,NO3-N,mg kg^-1,available_N
W-N4+E-2,Wheat,200%,+E,NH4_N,18.47570096096,NH4-N,mg kg^-1,available_N
W-N4+E-2,Wheat,200%,+E,N_availability,69.9246759838315,Available N,mg kg^-1,available_N
W-N4+E-2,Wheat,200%,+E,pH,7.13,pH,,supplement
W-N4+E-2,Wheat,200%,+E,Soil_moisture,15.0086256469235,Soil moisture,%,supplement
W-N4+E-4,Wheat,200%,+E,TC_gkg,19.2588007450104,TC,g kg^-1,core
W-N4+E-4,Wheat,200%,+E,TN_gkg,0.822389125823975,TN,g kg^-1,core
W-N4+E-4,Wheat,200%,+E,SOC_gkg,2.0654362943797002,SOC,g kg^-1,core
W-N4+E-4,Wheat,200%,+E,NO3_N,42.3855819884791,NO3-N,mg kg^-1,available_N
W-N4+E-4,Wheat,200%,+E,NH4_N,26.8224069418876,NH4-N,mg kg^-1,available_N
W-N4+E-4,Wheat,200%,+E,N_availability,69.2079889303668,Available N,mg kg^-1,available_N
W-N4+E-4,Wheat,200%,+E,pH,7.19,pH,,supplement
W-N4+E-4,Wheat,200%,+E,Soil_moisture,17.8550383028875,Soil moisture,%,supplement
W-N4+E-7,Wheat,200%,+E,TC_gkg,22.3641657829285,TC,g kg^-1,core
W-N4+E-7,Wheat,200%,+E,TN_gkg,0.923750698566437,TN,g kg^-1,core
W-N4+E-7,Wheat,200%,+E,SOC_gkg,1.92939377518041,SOC,g kg^-1,core
W-N4+E-7,Wheat,200%,+E,NO3_N,417.965908941513,NO3-N,mg kg^-1,available_N
W-N4+E-7,Wheat,200%,+E,NH4_N,21.0237104356495,NH4-N,mg kg^-1,available_N
W-N4+E-7,Wheat,200%,+E,N_availability,438.989619377163,Available N,mg kg^-1,available_N
W-N4+E-7,Wheat,200%,+E,pH,7.21,pH,,supplement
W-N4+E-7,Wheat,200%,+E,Soil_moisture,16.8396770472895,Soil moisture,%,supplement
R-N1-11,Ryegrass,50%,-E,TC_gkg,15.1235949993134,TC,g kg^-1,core
R-N1-11,Ryegrass,50%,-E,TN_gkg,0.506763532757759,TN,g kg^-1,core
R-N1-11,Ryegrass,50%,-E,SOC_gkg,1.00954411625862,SOC,g kg^-1,core
R-N1-11,Ryegrass,50%,-E,NO3_N,32.1487953929912,NO3-N,mg kg^-1,available_N
R-N1-11,Ryegrass,50%,-E,NH4_N,12.7556907644497,NH4-N,mg kg^-1,available_N
R-N1-11,Ryegrass,50%,-E,N_availability,44.9044861574409,Available N,mg kg^-1,available_N
R-N1-11,Ryegrass,50%,-E,pH,7.25,pH,,supplement
R-N1-11,Ryegrass,50%,-E,Soil_moisture,14.8765077541643,Soil moisture,%,supplement
R-N1-13,Ryegrass,50%,-E,TC_gkg,15.5490601062775,TC,g kg^-1,core
R-N1-13,Ryegrass,50%,-E,TN_gkg,0.550331473350525,TN,g kg^-1,core
R-N1-13,Ryegrass,50%,-E,SOC_gkg,1.54783196335782,SOC,g kg^-1,core
R-N1-13,Ryegrass,50%,-E,NO3_N,42.5456559203729,NO3-N,mg kg^-1,available_N
R-N1-13,Ryegrass,50%,-E,NH4_N,13.1023513937077,NH4-N,mg kg^-1,available_N
R-N1-13,Ryegrass,50%,-E,N_availability,55.6480073140806,Available N,mg kg^-1,available_N
R-N1-13,Ryegrass,50%,-E,pH,7.31,pH,,supplement
R-N1-13,Ryegrass,50%,-E,Soil_moisture,12.9848229342327,Soil moisture,%,supplement
R-N1-17,Ryegrass,50%,-E,TC_gkg,17.2490990161896,TC,g kg^-1,core
R-N1-17,Ryegrass,50%,-E,TN_gkg,0.524007380008698,TN,g kg^-1,core
R-N1-17,Ryegrass,50%,-E,SOC_gkg,2.5613138531915,SOC,g kg^-1,core
R-N1-17,Ryegrass,50%,-E,NO3_N,34.3489043023499,NO3-N,mg kg^-1,available_N
R-N1-17,Ryegrass,50%,-E,NH4_N,8.31336887334271,NH4-N,mg kg^-1,available_N
R-N1-17,Ryegrass,50%,-E,N_availability,42.6622731756926,Available N,mg kg^-1,available_N
R-N1-17,Ryegrass,50%,-E,pH,7.35,pH,,supplement
R-N1-17,Ryegrass,50%,-E,Soil_moisture,11.0188261351052,Soil moisture,%,supplement
R-N2-11,Ryegrass,100%,-E,TC_gkg,16.4527499675751,TC,g kg^-1,core
R-N2-11,Ryegrass,100%,-E,TN_gkg,0.577217973768711,TN,g kg^-1,core
R-N2-11,Ryegrass,100%,-E,SOC_gkg,1.99711243693241,SOC,g kg^-1,core
R-N2-11,Ryegrass,100%,-E,NO3_N,40.4010209456111,NO3-N,mg kg^-1,available_N
R-N2-11,Ryegrass,100%,-E,NH4_N,18.5512700084852,NH4-N,mg kg^-1,available_N
R-N2-11,Ryegrass,100%,-E,N_availability,58.9522909540962,Available N,mg kg^-1,available_N
R-N2-11,Ryegrass,100%,-E,pH,7.12,pH,,supplement
R-N2-11,Ryegrass,100%,-E,Soil_moisture,13.2999443516973,Soil moisture,%,supplement
R-N2-13,Ryegrass,100%,-E,TC_gkg,16.7924213409424,TC,g kg^-1,core
R-N2-13,Ryegrass,100%,-E,TN_gkg,0.635921284556389,TN,g kg^-1,core
R-N2-13,Ryegrass,100%,-E,SOC_gkg,2.70020075934349,SOC,g kg^-1,core
R-N2-13,Ryegrass,100%,-E,NO3_N,26.704494709057,NO3-N,mg kg^-1,available_N
R-N2-13,Ryegrass,100%,-E,NH4_N,15.8246423021989,NH4-N,mg kg^-1,available_N
