SampleID,作物,氮水平,蚯蚓处理,variable,variable_label,value,unit,variable_group
W-N3+E-10,小麦,150%氮肥,加蚯蚓,NO3_N,NO3--N,423.42755272051,mg kg^-1,available_N
W-N3+E-10,小麦,150%氮肥,加蚯蚓,NH4_N,NH4+-N,21.5724472794898,mg kg^-1,available_N
W-N3+E-10,小麦,150%氮肥,加蚯蚓,N_availability,Available N,445,mg kg^-1,available_N
W-N3+E-10,小麦,150%氮肥,加蚯蚓,pH,pH,7.15,none,supplement
W-N3+E-10,小麦,150%氮肥,加蚯蚓,Soil_moisture,Soil moisture,16.0092807424594,%,supplement
W-N4+E-2,小麦,200%氮肥,加蚯蚓,TC_gkg,TC,19.0122151374817,g kg^-1,C_N_pool
W-N4+E-2,小麦,200%氮肥,加蚯蚓,TN_gkg,TN,1.88784390687943,g kg^-1,C_N_pool
W-N4+E-2,小麦,200%氮肥,加蚯蚓,SOC_gkg,SOC,1.67846621498575,g kg^-1,C_N_pool
W-N4+E-2,小麦,200%氮肥,加蚯蚓,NO3_N,NO3--N,51.4489750228715,mg kg^-1,available_N
W-N4+E-2,小麦,200%氮肥,加蚯蚓,NH4_N,NH4+-N,18.47570096096,mg kg^-1,available_N
W-N4+E-2,小麦,200%氮肥,加蚯蚓,N_availability,Available N,69.9246759838315,mg kg^-1,available_N
W-N4+E-2,小麦,200%氮肥,加蚯蚓,pH,pH,7.13,none,supplement
W-N4+E-2,小麦,200%氮肥,加蚯蚓,Soil_moisture,Soil moisture,15.0086256469235,%,supplement
W-N4+E-4,小麦,200%氮肥,加蚯蚓,TC_gkg,TC,19.2588007450104,g kg^-1,C_N_pool
W-N4+E-4,小麦,200%氮肥,加蚯蚓,TN_gkg,TN,0.822389125823975,g kg^-1,C_N_pool
W-N4+E-4,小麦,200%氮肥,加蚯蚓,SOC_gkg,SOC,2.0654362943797002,g kg^-1,C_N_pool
W-N4+E-4,小麦,200%氮肥,加蚯蚓,NO3_N,NO3--N,42.3855819884791,mg kg^-1,available_N
W-N4+E-4,小麦,200%氮肥,加蚯蚓,NH4_N,NH4+-N,26.8224069418876,mg kg^-1,available_N
W-N4+E-4,小麦,200%氮肥,加蚯蚓,N_availability,Available N,69.2079889303668,mg kg^-1,available_N
W-N4+E-4,小麦,200%氮肥,加蚯蚓,pH,pH,7.19,none,supplement
W-N4+E-4,小麦,200%氮肥,加蚯蚓,Soil_moisture,Soil moisture,17.8550383028875,%,supplement
W-N4+E-7,小麦,200%氮肥,加蚯蚓,TC_gkg,TC,22.3641657829285,g kg^-1,C_N_pool
W-N4+E-7,小麦,200%氮肥,加蚯蚓,TN_gkg,TN,0.923750698566437,g kg^-1,C_N_pool
W-N4+E-7,小麦,200%氮肥,加蚯蚓,SOC_gkg,SOC,1.92939377518041,g kg^-1,C_N_pool
W-N4+E-7,小麦,200%氮肥,加蚯蚓,NO3_N,NO3--N,417.965908941513,mg kg^-1,available_N
W-N4+E-7,小麦,200%氮肥,加蚯蚓,NH4_N,NH4+-N,21.0237104356495,mg kg^-1,available_N
W-N4+E-7,小麦,200%氮肥,加蚯蚓,N_availability,Available N,438.989619377163,mg kg^-1,available_N
W-N4+E-7,小麦,200%氮肥,加蚯蚓,pH,pH,7.21,none,supplement
W-N4+E-7,小麦,200%氮肥,加蚯蚓,Soil_moisture,Soil moisture,16.8396770472895,%,supplement
R-N1-11,黑麦草,50%氮肥,不加蚯蚓,TC_gkg,TC,15.1235949993134,g kg^-1,C_N_pool
R-N1-11,黑麦草,50%氮肥,不加蚯蚓,TN_gkg,TN,0.506763532757759,g kg^-1,C_N_pool
R-N1-11,黑麦草,50%氮肥,不加蚯蚓,SOC_gkg,SOC,1.00954411625862,g kg^-1,C_N_pool
R-N1-11,黑麦草,50%氮肥,不加蚯蚓,NO3_N,NO3--N,32.1487953929912,mg kg^-1,available_N
R-N1-11,黑麦草,50%氮肥,不加蚯蚓,NH4_N,NH4+-N,12.7556907644497,mg kg^-1,available_N
R-N1-11,黑麦草,50%氮肥,不加蚯蚓,N_availability,Available N,44.9044861574409,mg kg^-1,available_N
R-N1-11,黑麦草,50%氮肥,不加蚯蚓,pH,pH,7.25,none,supplement
R-N1-11,黑麦草,50%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,14.8765077541643,%,supplement
